id,name,description,image,category
P.108,Cấm xe kéo rơ-moóc,"Cấm các loại máy kéo, xe máy, xe khách, xe cơ giới kéo theo rơ-moóc đi vào. Ngoại trừ ô tô sơ-mi-rơ-moóc và các xe (kéo theo rơ-moóc) được ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Vietnam_road_sign_P108.svg/1024px-Vietnam_road_sign_P108.svg.png,1
P.108a,Cấm xe sơ-mi-rơ-moóc,"Cấm các loại xe sơ-mi-rơ-moóc, máy kéo, xe máy, xe khách, xe cơ giới kéo theo rơ-moóc đi vào. Không áp dụng với xe ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Vietnam_road_sign_P108a.svg/1024px-Vietnam_road_sign_P108a.svg.png,1
P.109,Cấm máy kéo,"Cấm các loại xe máy kéo, máy kéo bánh xích, máy kéo bánh hơi đi vào.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Vietnam_road_sign_P109.svg/1024px-Vietnam_road_sign_P109.svg.png,1
P.110a,Cấm xe đạp,Cấm xe đạp chạy vào,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Vietnam_road_sign_P110a.svg/1024px-Vietnam_road_sign_P110a.svg.png,1
P.110b,Cấm xe đạp thồ,Cấm xe đạp thồ chạy vào,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Vietnam_road_sign_P110b.svg/1024px-Vietnam_road_sign_P110b.svg.png,1
P.111a,Cấm xe gắn máy,Cấm tất cả xe máy và xe gắn máy đi vào khu vực này,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Vietnam_road_sign_P111a.svg/1024px-Vietnam_road_sign_P111a.svg.png,1
P.111b,Cấm xe ba bánh loại có động cơ (xe lam),Cấm các loại xe ba bánh có động cơ như xe lam,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Vietnam_road_sign_P111b.svg/1024px-Vietnam_road_sign_P111b.svg.png,1
P.111c,Cấm xe ba bánh loại có động cơ (xích lô máy),Cấm các loại xe ba bánh có động cơ như xe lôi máy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Vietnam_road_sign_P111c.svg/1024px-Vietnam_road_sign_P111c.svg.png,1
P.111d,Cấm xe ba bánh không có động cơ (xích lô),Cấm các loại xe ba bánh không có động cơ như xe xích lô,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Vietnam_road_sign_P111d.svg/1024px-Vietnam_road_sign_P111d.svg.png,1
P.112,Cấm người đi bộ,Cấm những người đi bộ qua khu vực này,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Vietnam_road_sign_P112.svg/1024px-Vietnam_road_sign_P112.svg.png,1
P.113,Cấm xe người kéo đẩy,"Cấm xe do người đẩy/kéo, xe thô sơ đi vào. Không áp dụng cho phương tiện dành cho người khuyết tật và xe nôi trẻ em",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Vietnam_road_sign_P113.svg/1024px-Vietnam_road_sign_P113.svg.png,1
P.114,Cấm xe súc vật kéo,Cấm xe do súc vật kéo hay chở trên lưng đi qua khu vực này,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Vietnam_road_sign_P114.svg/1024px-Vietnam_road_sign_P114.svg.png,1
P.115,Hạn chế trọng lượng xe,Cấm các phương tiện xe cơ giới và xe thô sơ (áp dụng cả xe ưu tiên) có trọng tải toàn bộ xe vượt quá số quy định được ghi trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Vietnam_road_sign_P115.svg/1024px-Vietnam_road_sign_P115.svg.png,1
P.116,Hạn chế trọng lượng trên trục xe,Cấm các phương tiện xe cơ giới và xe thô sơ (áp dụng cả xe ưu tiên) có trọng tải toàn bộ xe phân bổ trên một trục xe vượt quá số quy định trên bảng cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Vietnam_road_sign_P116.svg/1024px-Vietnam_road_sign_P116.svg.png,1
P.117,Hạn chế chiều cao,Cấm các phương tiện xe cơ giới và xe thô sơ (áp dụng cả xe ưu tiên) có chiều cao vượt quá số quy định được ghi trên bảng cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Vietnam_road_sign_P117.svg/1024px-Vietnam_road_sign_P117.svg.png,1
P.118,Hạn chế chiều ngang,Cấm các phương tiện xe cơ giới và xe thô sơ (áp dụng cả xe ưu tiên) có chiều ngang vượt quá số quy định được ghi trên bảng cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Vietnam_road_sign_P118.svg/1024px-Vietnam_road_sign_P118.svg.png,1
P.119,Hạn chế chiều dài ô tô,Cấm các phương tiện xe cơ giới và xe thô sơ (áp dụng cả xe ưu tiên) có chiều dài vượt quá số quy định được ghi trên bảng cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Vietnam_road_sign_P119.svg/1024px-Vietnam_road_sign_P119.svg.png,1
P.120,"Hạn chế chiều dài ô tô, máy kéo rơ-moóc hoặc sơ-mi-rơ-moóc",Cấm các phương tiện xe cơ giới và xe thô sơ (áp dụng cả xe ưu tiên) kéo theo moóc và xe ô tô sơmi rơ-moóc có chiều dài vượt quá số quy định được ghi trên bảng cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Vietnam_road_sign_P120.svg/1024px-Vietnam_road_sign_P120.svg.png,1
P.121,Cự ly tối thiểu giữa hai xe,Các xe ô tô phải di chuyển cách nhau bằng hoặc xa hơn số được ghi trên bảng cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Vietnam_road_sign_P121.svg/1024px-Vietnam_road_sign_P121.svg.png,1
P.122,Dừng lại,"Đây là biển hiệu lệnh dạng đặc biệt. Biển có hiệu lực buộc các xe cơ giới và thô sơ kể cả các xe được ưu tiên theo luật lệ Nhà nước quy định dừng lại trước biển hoặc trước vạch ngang đường và chỉ được phép đi khi thấy các tín hiệu (do người điều khiển giao thông hoặc đèn, cờ) cho phép đi.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Vietnam_road_sign_P122.svg/1024px-Vietnam_road_sign_P122.svg.png,3
P.123a,Cấm rẽ trái (không cấm quay đầu xe),"Cấm xe cơ giới và xe thơ sơ (trừ xe ưu tiên) rẽ trái, không áp dụng trường hợp quay đầu xe. Không áp dụng với",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Vietnam_road_sign_P123a.svg/1024px-Vietnam_road_sign_P123a.svg.png,1
P.123b,Cấm rẽ phải,"Cấm xe cơ giới và xe thơ sơ (trừ xe ưu tiên) rẽ phải, không áp dụng trường hợp quay đầu xe.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Vietnam_road_sign_P123b.svg/1024px-Vietnam_road_sign_P123b.svg.png,1
P.124a1,Cấm quay xe (được rẽ trái),Cấm xe quay đầu theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Vietnam_road_sign_P124a1.svg/1024px-Vietnam_road_sign_P124a1.svg.png,1
P.124a2,Cấm quay xe (được rẽ trái),Cấm xe quay đầu theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Vietnam_road_sign_P124a2.svg/1024px-Vietnam_road_sign_P124a2.svg.png,1
P.124b1,Cấm ô tô quay đầu xe (được rẽ trái),Cấm xe ba bánh và xe ô tô quay đầu xe theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Vietnam_road_sign_P124b1.svg/1024px-Vietnam_road_sign_P124b1.svg.png,1
P.124b2,Cấm ô tô quay đầu xe (được rẽ phải)),Cấm xe ba bánh và xe ô tô quay đầu xe theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Vietnam_road_sign_P124b2.svg/1024px-Vietnam_road_sign_P124b2.svg.png,1
P.124c,Cấm rẽ trái và quay xe,Cấm xe rẽ trái/ phải và quay đầu xe theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vietnam_road_sign_P124c.svg/1024px-Vietnam_road_sign_P124c.svg.png,1
P.124d,Cấm rẽ phải và quay xe,Cấm xe rẽ trái/ phải và quay đầu xe theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Vietnam_road_sign_P124d.svg/1024px-Vietnam_road_sign_P124d.svg.png,1
P.124f,Cấm ô tô rẽ phải và quay xe,Cấm xe ô tô hay xe ba bánh rẽ trái/ phải và quay đầu xe theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Vietnam_road_sign_P124f.svg/1024px-Vietnam_road_sign_P124f.svg.png,1
P.124e,Cấm ô tô rẽ trái và quay xe,Cấm xe ô tô hay xe ba bánh rẽ trái/ phải và quay đầu xe theo kiểu chữ U như hướng quay trên biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Vietnam_road_sign_P124e.svg/1024px-Vietnam_road_sign_P124e.svg.png,1
P.125,Cấm vượt,"Cấm các phương tiện xe cơ giới vượt nhau, áp dụng kể cả xe ưu tiên. Được phép vượt xe gắn máy, xe hai bánh",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Vietnam_road_sign_P125.svg/1024px-Vietnam_road_sign_P125.svg.png,1
P.126,Cấm ô tô tải vượt,Cấm phương tiện ô tô tải vượt các loại xe cơ giới,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Vietnam_road_sign_P126.svg/1024px-Vietnam_road_sign_P126.svg.png,1
P.127,Tốc độ tối đa cho phép (20 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vietnam_road_sign_P127-20.svg/1024px-Vietnam_road_sign_P127-20.svg.png,1
P.127,Tốc độ tối đa cho phép (30 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Vietnam_road_sign_P127-30.svg/1024px-Vietnam_road_sign_P127-30.svg.png,1
P.127,Tốc độ tối đa cho phép (40km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Vietnam_road_sign_P127-40.svg/1024px-Vietnam_road_sign_P127-40.svg.png,1
P.127,Tốc độ tối đa cho phép (50 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Vietnam_road_sign_P127-50.svg/1024px-Vietnam_road_sign_P127-50.svg.png,1
P.127,Tốc độ tối đa cho phép (60 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Vietnam_road_sign_P127-60.svg/1024px-Vietnam_road_sign_P127-60.svg.png,1
P.127,Tốc độ tối đa cho phép (70 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Vietnam_road_sign_P127-70.svg/1024px-Vietnam_road_sign_P127-70.svg.png,1
P.127,Tốc độ tối đa cho phép (80 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Vietnam_road_sign_P127-80.svg/1024px-Vietnam_road_sign_P127-80.svg.png,1
P.127,Tốc độ tối đa cho phép (90 km/h),Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Vietnam_road_sign_P127-90.svg/1024px-Vietnam_road_sign_P127-90.svg.png,1
P.127a,Tốc độ tối đa cho phép về ban đêm,"Cấm phương tiện xe cơ giới chạy quá tốc độ trên biển ngoại trừ xe ưu tiên, biển cấm chỉ áp dụng vào ban đêm",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Vietnam_road_sign_P127a.svg/1024px-Vietnam_road_sign_P127a.svg.png,1
P.127b,Giới hạn tốc độ theo làn đường,"Biển báo quy định tốc độ tối đa cho phép trên từng làn đường. Xe chạy trên làn nào phải tuân thủ tốc độ tối đa cho phép trên làn đường đó. Biển đặt bên đường hoặc treo trên giá long môn, cột cần vươn.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Vietnam_road_sign_P127b.svg/1024px-Vietnam_road_sign_P127b.svg.png,1
P.127c,Giới hạn tốc độ theo phương tiện trên từng làn đường,Biển báo quy định tốc độ tối đa cho phép theo phương tiện trên từng làn đường. Các loại phương tiện phải đi đúng làn đường và tuân thủ tốc độ tối đa cho phép trên làn đường đó. Biển đặt bên đường hoặc treo trên cột cần vươn hay giá long môn. Biểu tượng trên biển có thể thay đổi theo điều kiện sử dụng thực tế.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Vietnam_road_sign_P127c.svg/1024px-Vietnam_road_sign_P127c.svg.png,1
P.127d,Hết hạn chế tốc độ tối đa cho phép theo làn đường,"Biển báo báo hết đoạn đường tốc độ tối đa cho phép theo biển ghép P.127b, P.127c. Kể từ biển này, các xe được phép chạy với tốc độ tối đa đã quy định trong Luật Giao thông đường bộ.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Vietnam_road_sign_P127d.svg/1024px-Vietnam_road_sign_P127d.svg.png,1
P.127e,Hết hạn chế tốc độ tối đa cho phép theo phương tiện trên từng làn đường,"Biển báo báo hết đoạn đường tốc độ tối đa cho phép theo biển ghép P.127b, P.127c. Kể từ biển này, các xe được phép chạy với tốc độ tối đa đã quy định trong Luật Giao thông đường bộ.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Vietnam_road_sign_P127e.svg/1024px-Vietnam_road_sign_P127e.svg.png,1
P.128,Cấm sử dụng còi,Cấm tất cả phương tiện sử dụng còi/ kèn xe (có thể kèm theo biển S501: Phạm vi tác dụng của biển),https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Vietnam_road_sign_P128.svg/1024px-Vietnam_road_sign_P128.svg.png,1
P.129,Kiểm tra,Các phương tiện đi qua phải dừng lại để kiểm tra,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Vietnam_road_sign_P129.svg/1024px-Vietnam_road_sign_P129.svg.png,1
P.130,Cấm dừng xe và đỗ xe,"Cấm các phương tiện xe cơ giới dừng và đỗ xe ngoại trừ những xe được ưu tiên.
Hiệu lực cấm của biển bắt đầu từ vị trí đặt biển đến nơi đường giao nhau hoặc đến vị trí quy định đỗ xe, dừng xe (hoặc đến vị trí đặt biển số P.135 ""Hết tất cả các lệnh cấm"" nếu đồng thời có nhiều biển cấm khác hết tác dụng).",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Vietnam_road_sign_P130.svg/1024px-Vietnam_road_sign_P130.svg.png,1
P.131a,Cấm đỗ xe,Biển báo báo nơi cấm đỗ xe trừ các xe được ưu tiên theo quy định.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Vietnam_road_sign_P131a.svg/1024px-Vietnam_road_sign_P131a.svg.png,1
P.131b,Cấm đỗ xe vào ngày lẻ,Biển báo báo nơi cấm đỗ xe vào ngày ăn lẻ trừ các xe được ưu tiên theo quy định.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Vietnam_road_sign_P131b.svg/1024px-Vietnam_road_sign_P131b.svg.png,1
P.131c,Cấm đỗ xe vào ngày chẵn,Biển báo báo nơi cấm đỗ xe vào ngày ăn chẵn trừ các xe được ưu tiên theo quy định.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Vietnam_road_sign_P131c.svg/1024px-Vietnam_road_sign_P131c.svg.png,1
P.132,Nhường đường cho xe cơ giới đi ngược chiều qua đường hẹp,"Các xe cơ giới và xe thô sơ, kể cả những loại xe ưu tiên phải nhường đường cho xe cơ giới đi ngược chiều qua đường hẹp",https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Vietnam_road_sign_P132.svg/1024px-Vietnam_road_sign_P132.svg.png,1
P.133,Hết cấm vượt,Hết đoạn đường bị cấm vượt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Vietnam_road_sign_P133.svg/1024px-Vietnam_road_sign_P133.svg.png,1
P.134,Hết hạn chế tốc độ tối đa,Hết đoạn đường hạn chế tốc độ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Vietnam_road_sign_P134.svg/1024px-Vietnam_road_sign_P134.svg.png,1
P.135,Hết tất cả các lệnh cấm,Hết đoạn đường áp dụng biển báo cấm,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Vietnam_road_sign_P135.svg/1024px-Vietnam_road_sign_P135.svg.png,1
P.136,Cấm đi thẳng,Cấm xe cơ giới và xe thô sơ đi thẳng,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Vietnam_road_sign_P136.svg/1024px-Vietnam_road_sign_P136.svg.png,1
P.137,Cấm rẽ trái và rẽ phải,Cấm xe cơ giới không được rẽ trái và rẽ phải. Nếu có quy định thời gian cấm sẽ có biển phụ phía dưới,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Vietnam_road_sign_P137.svg/1024px-Vietnam_road_sign_P137.svg.png,1
P.138,Cấm đi thẳng và rẽ trái,Cấm xe cơ giới không được đi thẳng và rẽ trái. Nếu có quy định thời gian cấm sẽ có biển phụ phía dưới,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Vietnam_road_sign_P138.svg/1024px-Vietnam_road_sign_P138.svg.png,1
P.139,Cấm đi thẳng và rẽ phải,Cấm xe cơ giới không được đi thẳng và rẽ phải. Nếu có quy định thời gian cấm sẽ có biển phụ phía dưới,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Vietnam_road_sign_P139.svg/1024px-Vietnam_road_sign_P139.svg.png,1
P.140,Cấm xe công nông và các loại xe tương tự,Cấm xe công nông hoặc các xe tương tự đi vào,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Vietnam_road_sign_P140.svg/1024px-Vietnam_road_sign_P140.svg.png,1
W.201a,Chỗ ngoặt nguy hiểm vòng bên trái,Cảnh báo người lái phía trước có chỗ ngoặt nguy hiểm vòng ở bên trái,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Vietnam_road_sign_W201a.svg/1024px-Vietnam_road_sign_W201a.svg.png,2
W.201b,Chỗ ngoặt nguy hiểm vòng bên phải,Cảnh báo người lái phía trước có chỗ ngoặt nguy hiểm vòng ở bên phải,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Vietnam_road_sign_W201b.svg/1024px-Vietnam_road_sign_W201b.svg.png,2
W.201c,Chỗ ngoặt nguy hiểm có nguy cơ lật xe bên phải (đường cong vòng sang trái),"Nhắc nhở phía trước đến chỗ ngoặt, nguy cơ dễ lật xe ở bên phải khi đường cong vòng sang trái.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Vietnam_road_sign_W201c.svg/1024px-Vietnam_road_sign_W201c.svg.png,2
W.201d,Chỗ ngoặt nguy hiểm có nguy cơ lật xe bên trái (đường cong vòng sang phải),"Nhắc nhở phía trước đến chỗ ngoặt, nguy cơ dễ lật xe ở bên trái khi đường cong vòng sang phải.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Vietnam_road_sign_W201d.svg/1024px-Vietnam_road_sign_W201d.svg.png,2
W.202a,"Nhiều chỗ ngoặt nguy hiểm liên tiếp, chỗ đầu tiên sang trái","Khu vực có từ 2 chỗ ngoặt liên tiếp ở gần nhau, chỗ ngoặt đầu tiên hướng vòng bên trái.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Vietnam_road_sign_W202a.svg/1024px-Vietnam_road_sign_W202a.svg.png,2
W.202b,"Nhiều chỗ ngoặt nguy hiểm liên tiếp, chỗ đầu tiên sang phải","Khu vực có từ 2 chỗ ngoặt liên tiếp ở gần nhau, chỗ ngoặt đầu tiên hướng vòng bên phải",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Vietnam_road_sign_W202b.svg/1024px-Vietnam_road_sign_W202b.svg.png,2
W.203a,Đường bị thu hẹp cả hai bên,Cả hai bên đường đều bị thu hẹp.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Vietnam_road_sign_W203a.svg/1024px-Vietnam_road_sign_W203a.svg.png,2
W.203b,Đường bị thu hẹp về phía trái,Đường bị thu hẹp bên trái.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Vietnam_road_sign_W203b.svg/1024px-Vietnam_road_sign_W203b.svg.png,2
W.203c,Đường bị thu hẹp về phía phải,Đường bị thu hẹp bên phải.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Vietnam_road_sign_W203c.svg/1024px-Vietnam_road_sign_W203c.svg.png,2
W.204,Đường hai chiều,"Cảnh báo sắp đến đoạn đường có trở ngại hoặc đang sửa chữa, cần phải tổ chức đi lại cả hai chiều.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Vietnam_road_sign_W204.svg/1024px-Vietnam_road_sign_W204.svg.png,2
W.205a,Đường giao nhau (ngã tư),"Cảnh báo sắp đến nơi giao nhau của các tuyến đường cùng cấp, không có ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Vietnam_road_sign_W205a.svg/1024px-Vietnam_road_sign_W205a.svg.png,2
W.205b,Đường giao nhau (ngã ba bên trái),"Cảnh báo sắp đến nơi giao nhau của các tuyến đường cùng cấp, không có ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Vietnam_road_sign_W205b.svg/1024px-Vietnam_road_sign_W205b.svg.png,2
W.205c,Đường giao nhau (ngã ba bên phải),"Cảnh báo sắp đến nơi giao nhau của các tuyến đường cùng cấp, không có ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Vietnam_road_sign_W205c.svg/1024px-Vietnam_road_sign_W205c.svg.png,2
W.205d,Đường giao nhau (hình chữ T),"Cảnh báo sắp đến nơi giao nhau của các tuyến đường cùng cấp, không có ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Vietnam_road_sign_W205d.svg/1024px-Vietnam_road_sign_W205d.svg.png,2
W.205e,Đường giao nhau (hình chữ Y),"Cảnh báo sắp đến nơi giao nhau của các tuyến đường cùng cấp, không có ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Vietnam_road_sign_W205e.svg/1024px-Vietnam_road_sign_W205e.svg.png,2
W.206,Giao nhau chạy theo vòng xuyến,"Cảnh báo phía trước có nơi giao nhau, phải đi theo vòng xuyến theo chiều mũi tên.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Vietnam_road_sign_W206.svg/1024px-Vietnam_road_sign_W206.svg.png,2
W.207a,Giao nhau với đường không ưu tiên,Cảnh báo sắp tới nơi giao nhau với đường không ưu tiên phía trước.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Vietnam_road_sign_W207a.svg/1024px-Vietnam_road_sign_W207a.svg.png,2
W.207b,Giao nhau với đường không ưu tiên,Cảnh báo sắp tới nơi giao nhau với đường không ưu tiên phía trước.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Vietnam_road_sign_W207b.svg/1024px-Vietnam_road_sign_W207b.svg.png,2
W.207c,Giao nhau với đường không ưu tiên,Cảnh báo sắp tới nơi giao nhau với đường không ưu tiên phía trước.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Vietnam_road_sign_W207c.svg/1024px-Vietnam_road_sign_W207c.svg.png,2
